id,stance,text
1245622091098931201,0,"@ezridersos @gatewaypundit Dr Geoffrey Cly, honest OBGYN, add some information about Hydroxychloroquine and Azithromycin treatment for covid-19.

Why I haven't seen this go viral on Twitter is a mystery to me

https://t.co/MODefDPTrk"
1245622283894325251,2,It is good that the UK is beginning patient trials of Remdesivir for treating the coronavirus. But there is no good reason not to begin similar trials of chloroquine and azithromycin which are much cheaper and now in use in both France and the USA. https://t.co/npeXfCBkZl
1245622724581396480,0,@RepFarnesworth @realDonaldTrump @Mike_Pence @foxandfriends says that CDC knew chloroquine may have an inhibitor to corona virus in 2005 lol
1245627221106020353,2,"As someone with a biomedicine degree, I found it interesting that the common malaria &amp; rheumatoid arthritis drug, Hydroxychloroquine may prove to have a +tive affect on at least some coronavirus patients. Testing samples are small, but it could lead to a major breakthrough"
1245627946791915520,2,COVID-19: Ghana using Trump’s proposed Chloroquine for treating cases (Video) https://t.co/RQg4UO6Tzj
1245633016983982084,2,"‘Battlefield Medicine’: NY, NJ Doctors and Patients See Anecdotal Evidence of Hydroxychloroquine Benefits in Fighting Coronavirus https://t.co/lZDJoSn3j0"
1245633021853618176,2,"@atrupar It doesn't matter coz trump is going to win the elections again this year. The coronavirus has badly affected the liberal and democratic states, his approval ratings are very much higher in Republican states &amp; also democratic states are banning hydroxychloroquine w more deaths"
1245633512679460866,2,"HydroxyChloroquine and the Z-pack 

Sounds like this is the game charger. 
🙌🙌🙌💪💪💪🙏🙏🙏

#Trump2020NowMoreThanEver 

#COVIDー19 #COVID19Pandemic"
1245638616694452227,2,"Why #France is hiding a cheap and tested virus cure - Asia Times 
#coronavirus #didierraoult #buzyn #inserm #chloroquine 
https://t.co/WIh22pKqBn"
1245638797439590408,0,"Analyst asks: are the #hydroxychloroquine trials using sufficient doses, loading* doses to fight #covid19 ?  https://t.co/2uANvKR8iA"
1245639040155529219,1,"@Ammangisi83 @mtukatana @FredMatiangi The drug in use against COVID-19 right now is Azithromycin, which fights acute bronchitis and pneumonia,  on chloroquine and other related drugs, they are still in testing, no one can use them or remove them from the market to create a shortage. Because results may come negative."
1245644702247862272,0,🙏🙏🙏🙏 Please Work &amp; Thank you to All Trying to help.   Coronavirus: Controversial malaria drug hydroxychloroquine tested at B.C. seniors&amp;#8217; home https://t.co/E5rDcBdx97
1245650477926076419,2,"#BolsonaroTemRazao  ‘Hydroxychloroquine is a game changer and the beginning of the end coronavirus pandemic,’ Infectious Disease Specialist Dr. Stephen Smith says https://t.co/cRe3IzlbIZ"
1245650838841724928,2,"'Battlefield Medicine': NY, NJ Doctors and Patients See Anecdotal Evidence of Hydroxychloroquine Benefits in Fighting Coronavirus https://t.co/AUIZt4dLs7"
1245651240995786753,1,Anyone else cringing at the thoughts  of Hydroxychloroquine in many households for Covid-19 treatment #ohthecalls #littlepeople #onepillcankill     #thisgrandmanothappy #FOAMtox #FOAMed https://t.co/sws3PsOgbu
1247539693689815040,0,"The Bureau of Prisons Just Bought a Ton of Hydroxychloroquine, Trump’s COVID-19 Miracle Drug https://t.co/TOz3EZOIu5"
