,train_scores,test_scores
MLP_not_weighted,0.9977176966292133,0.7487821851078637
MLP_weighted,0.9979810393258427,0.7446068197633959
CNN_not_weighted,0.9967521067415732,0.7153792623521225
CNN_weighted,0.9939431179775284,0.7146833681280446
GloVe_not_weighted,0.9939431179775281,0.7080723729993041
GloVe_weighted,0.9910463483146068,0.7160751565762005
MultinomialNB_unigram,0.7903759136790811,0.7181628392484343
LogisticRegression_unigram,0.888966237382527,0.7682672233820459
SVC_unigram,0.9115036547163244,0.7651356993736952
SGDClassifier_unigram,0.988600765750087,0.7428670842032011
GradientBoostingClassifier_unigram,0.7132788026453185,0.6764091858037579
MLPClassifier_unigram,0.9993908806126001,0.7453027139874739
MultinomialNB_bigram,0.7903759136790811,0.7181628392484343
LogisticRegression_bigram,0.888966237382527,0.7682672233820459
SVC_bigram,0.9115036547163244,0.7651356993736952
SGDClassifier_bigram,0.9891228680821441,0.743910925539318
GradientBoostingClassifier_bigram,0.71179951270449,0.6767571329157968
MLPClassifier_bigram,0.9994778976679429,0.7456506610995128
